#Curve 0, 20 points
#x y type
20	0
40	0
60	0.01
80	0.24
100	0.6
120	0.64
140	0.72
160	0.6
180	0.6
200	0.63
220	0.59
240	0.62
260	0.68
280	0.67
300	0.61
320	0.65
340	0.66
360	0.73
380	0.64
400	0.64
420	0.69
440	0.69
460	0.67
480	0.65
500	0.75
520	0.65
540	0.67
560	0.65
580	0.67
600	0.69
620	0.69
640	0.63
660	0.54
680	0.62
700	0.63
720	0.61
740	0.68
760	0.7
780	0.73
800	0.61
820	0.62
840	0.73
860	0.65
880	0.62
900	0.61
920	0.59
940	0.68
960	0.69
980	0.58
1000	0.65
1020	0.74
1040	0.66
1060	0.67
1080	0.66
1100	0.6
1120	0.61
1140	0.65
1160	0.7
1180	0.59
1200	0.71
1220	0.56
1240	0.64
1260	0.6
1280	0.65
1300	0.63
1320	0.68
1340	0.64
1360	0.64
1380	0.63
1400	0.68
1420	0.56
1440	0.72
1460	0.69
1480	0.66
1500	0.71
1520	0.68
1540	0.67
1560	0.7
1580	0.69
1600	0.68
1620	0.57
1640	0.61
1660	0.73
1680	0.67
1700	0.64
1720	0.64
1740	0.64
1760	0.66
1780	0.54
1800	0.76
1820	0.62
1840	0.66
1860	0.6
1880	0.74
1900	0.66
1920	0.69
1940	0.67
1960	0.72
1980	0.71
2000	0.64
2020	0.71
2040	0.68
2060	0.6
2080	0.68
2100	0.72
2120	0.59
2140	0.6
2160	0.64
2180	0.71
2200	0.61
2220	0.63
2240	0.64
2260	0.58
2280	0.71
2300	0.62
2320	0.7
2340	0.62
2360	0.64
2380	0.67
2400	0.64
2420	0.61
2440	0.66
2460	0.62
2480	0.62
2500	0.72
2520	0.71
2540	0.59
2560	0.66
2580	0.64
2600	0.7
2620	0.61
2640	0.65
2660	0.71
2680	0.65
2700	0.58
2720	0.61
2740	0.63
2760	0.66
2780	0.65
2800	0.63
2820	0.66
2840	0.69
2860	0.63
2880	0.7
2900	0.72
2920	0.73
2940	0.68
2960	0.6
2980	0.65
3000	0.59
3020	0.69
3040	0.59
3060	0.58
3080	0.73
3100	0.68
3120	0.69
3140	0.68
3160	0.62
3180	0.75
3200	0.65
3220	0.68
3240	0.76
3260	0.73
3280	0.69
3300	0.7
3320	0.7
3340	0.61
3360	0.7
3380	0.7
3400	0.67
3420	0.71
3440	0.72
3460	0.75
3480	0.62
3500	0.69
3520	0.68
3540	0.59
3560	0.72
3580	0.64
3600	0.64
3620	0.66
3640	0.65
3660	0.64
3680	0.71
3700	0.74
3720	0.68
3740	0.6
3760	0.64
3780	0.65
3800	0.6
3820	0.64
3840	0.64
3860	0.58
3880	0.58
3900	0.61
3920	0.68
3940	0.64
3960	0.74
3980	0.59
4000	0.71
4020	0.71
4040	0.53
4060	0.62
4080	0.7
4100	0.64
4120	0.67
4140	0.7
4160	0.64
4180	0.7
4200	0.71
4220	0.68
4240	0.6
4260	0.65
4280	0.66
4300	0.66
4320	0.61
4340	0.72
4360	0.66
4380	0.65
4400	0.61
4420	0.63
4440	0.66
4460	0.62
4480	0.65
4500	0.65
4520	0.61
4540	0.65
4560	0.69
4580	0.62
4600	0.64
4620	0.65
4640	0.64
4660	0.49
4680	0.75
4700	0.65
4720	0.67
4740	0.61
4760	0.53
4780	0.62
4800	0.59
4820	0.59
4840	0.7
4860	0.65
4880	0.65
4900	0.61
4920	0.64
4940	0.6
4960	0.59
4980	0.59
5000	0.64
5020	0.65
5040	0.74
5060	0.59
5080	0.65
5100	0.64
5120	0.63
5140	0.7
5160	0.68
5180	0.66
5200	0.65
5220	0.67
5240	0.62
5260	0.58
5280	0.56
5300	0.65
5320	0.54
5340	0.65
5360	0.67
5380	0.66
5400	0.7
5420	0.63
5440	0.57
5460	0.61
5480	0.65
5500	0.64
5520	0.57
5540	0.68
5560	0.7
5580	0.67
5600	0.62
5620	0.63
5640	0.59
5660	0.67
5680	0.76
5700	0.72
5720	0.67
5740	0.64
5760	0.63
5780	0.57
5800	0.69
5820	0.6
5840	0.61
5860	0.67
5880	0.65
5900	0.58
5920	0.64
5940	0.71
5960	0.62
5980	0.6
6000	0.68
6020	0.62
6040	0.65
6060	0.67
6080	0.63
6100	0.64
6120	0.66
6140	0.7
6160	0.55
6180	0.63
6200	0.72
